wine_name,vintage,region,predict_score,target_score,predict_price,target_price
"Domaine Jean Louis Chave, Hermitage, Rouge",2018,Hermitage,94.92,96,509.24,480
"Domaine Jean Louis Chave, Hermitage, Rouge",2017,Hermitage,94.89,96,506.82,431
"Domaine Jean Louis Chave, Hermitage, Rouge",2016,Hermitage,94.86,96,504.41,437
"Domaine Jean Louis Chave, Hermitage, Rouge",2015,Hermitage,94.83,98,501.99,625
"Domaine Jean Louis Chave, Hermitage, Rouge",2014,Hermitage,94.8,95,499.58,417
"Domaine Jean Louis Chave, Hermitage, Rouge",2013,Hermitage,94.77,95,497.16,413
"Domaine Jean Louis Chave, Hermitage, Rouge",2012,Hermitage,94.74,94,494.75,428
"Domaine Jean Louis Chave, Hermitage, Rouge",2011,Hermitage,94.71,95,492.33,405
"Domaine Jean Louis Chave, Hermitage, Rouge",2010,Hermitage,94.68,97,489.92,873
"Domaine Jean Louis Chave, Hermitage, Rouge",2009,Hermitage,94.65,96,487.5,781
"Domaine Jean Louis Chave, Hermitage, Rouge",2008,Hermitage,94.62,92,485.09,416
"Domaine Jean Louis Chave, Hermitage, Rouge",2007,Hermitage,94.59,94,482.67,523
"Domaine Jean Louis Chave, Hermitage, Rouge",2006,Hermitage,94.56,94,480.26,496
"Domaine Jean Louis Chave, Hermitage, Rouge",2005,Hermitage,94.53,96,477.84,647
"Domaine Jean Louis Chave, Hermitage, Rouge",2004,Hermitage,94.5,95,475.43,517
"Domaine Jean Louis Chave, Hermitage, Rouge",2003,Hermitage,94.47,96,473.01,1018
"Domaine Jean Louis Chave, Hermitage, Rouge",2002,Hermitage,94.44,90,470.6,448
"Domaine Jean Louis Chave, Hermitage, Rouge",2001,Hermitage,94.41,94,468.18,685
"Domaine Jean Louis Chave, Hermitage, Rouge",2000,Hermitage,94.38,94,465.76,605
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2023,Hermitage,93.99,-,282.81,-
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2022,Hermitage,93.99,-,282.81,-
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2021,Hermitage,93.93,95,277.96,251
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2020,Hermitage,93.9,93,275.53,198
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2019,Hermitage,93.87,97,273.1,219
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2018,Hermitage,93.84,95,270.68,210
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2017,Hermitage,93.81,94,268.25,193
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2016,Hermitage,93.78,95,265.82,193
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2015,Hermitage,93.74,98,263.39,273
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2014,Hermitage,93.71,94,260.97,166
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2013,Hermitage,93.68,93,258.54,197
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2012,Hermitage,93.65,94,256.11,171
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2011,Hermitage,93.62,93,253.68,183
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2010,Hermitage,93.59,95,251.26,230
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2009,Hermitage,93.56,95,248.83,229
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2008,Hermitage,93.56,95,248.83,229
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2007,Hermitage,93.5,93,243.98,172
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2006,Hermitage,93.47,91,241.55,180
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2005,Hermitage,93.44,92,239.12,181
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2004,Hermitage,93.41,91,236.69,153
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2003,Hermitage,93.38,93,234.26,165
